technique,technique_name,tactic,detector,rule_id,query_file,evidence_zip,alert_id,replay_cmd,detection_type,blocking
T1190,Exploit Public-Facing Application,Initial Access,WAF + DPI,WAF-001,detection_rules/suricata_rules.rules,evidence/T1190_SQL_Injection_Test.zip,SQL-INJ-001,python national_defense_grade_test.py --test-id T1190,Technique,Yes
T1190,Exploit Public-Facing Application,Initial Access,WAF + DPI,WAF-002,detection_rules/suricata_rules.rules,evidence/T1190_XSS_Test.zip,XSS-001,python national_defense_grade_test.py --test-id T1190,Technique,Yes
T1190,Exploit Public-Facing Application,Initial Access,WAF + DPI,WAF-003,detection_rules/suricata_rules.rules,evidence/T1190_XXE_Test.zip,XXE-001,pcap-replay datasets/min-replay/xxe_attack.pcap,Technique,Yes
T1133,External Remote Services,Initial Access,VPN Monitor,VPN-001,detection_rules/sigma_rules/vpn_anomaly.yml,evidence/T1133_VPN_Test.zip,VPN-ANOM-001,python test_vpn_monitoring.py,General,Yes
T1566,Phishing,Initial Access,Email Gateway,MAIL-001,detection_rules/sigma_rules/phishing_email.yml,evidence/T1566_Phishing_Test.zip,PHISH-001,python test_email_gateway.py,Tactic,Yes
T1078,Valid Accounts,Initial Access,Login Monitor,AUTH-001,detection_rules/sigma_rules/brute_force.yml,evidence/T1078_Login_Test.zip,AUTH-FAIL-001,python secure_web_system.py --test-login,Technique,Yes
T1189,Drive-by Compromise,Initial Access,WAF XSS,WAF-004,detection_rules/suricata_rules.rules,evidence/T1189_Driveby_Test.zip,XSS-002,pcap-replay datasets/min-replay/driveby.pcap,Technique,Yes
T1059.001,PowerShell,Execution,DPI + Logging,PS-001,detection_rules/sigma_rules/powershell_execution.yml,evidence/T1059_001_PowerShell_Test.zip,PS-EXEC-001,python test_powershell_detection.py,Technique,Yes
T1059.003,Windows Command Shell,Execution,Command Injection,CMD-001,detection_rules/suricata_rules.rules,evidence/T1059_003_CMD_Test.zip,CMD-INJ-001,python national_defense_firewall.py --test-cmd-inj,Technique,Yes
T1059.006,Python,Execution,Process Monitor,PY-001,detection_rules/sigma_rules/python_execution.yml,evidence/T1059_006_Python_Test.zip,PY-EXEC-001,python test_script_monitoring.py,General,Yes
T1106,Native API,Execution,API Monitor,API-001,detection_rules/sigma_rules/suspicious_api.yml,evidence/T1106_API_Test.zip,API-CALL-001,python test_api_monitoring.py,General,Yes
T1204,User Execution,Execution,Sandbox,SAND-001,detection_rules/sandbox_rules.json,evidence/T1204_UserExec_Test.zip,SAND-001,python test_sandboxing.py,Technique,Yes
T1053.005,Scheduled Task,Persistence,Event Log,SCHED-001,detection_rules/sigma_rules/scheduled_task.yml,evidence/T1053_005_SchedTask_Test.zip,SCHED-TASK-001,python test_persistence_detection.py,Technique,Yes
T1543.003,Windows Service,Persistence,Event Log,SVC-001,detection_rules/sigma_rules/service_install.yml,evidence/T1543_003_Service_Test.zip,SVC-INST-001,python test_service_monitoring.py,Technique,Yes
T1547.001,Registry Run Keys,Persistence,Registry Monitor,REG-001,detection_rules/sigma_rules/registry_persistence.yml,evidence/T1547_001_Registry_Test.zip,REG-PERS-001,python test_registry_monitoring.py,Technique,Yes
T1098,Account Manipulation,Persistence,Auth Monitor,ACCT-001,detection_rules/sigma_rules/account_modification.yml,evidence/T1098_AcctMod_Test.zip,ACCT-MOD-001,python secure_web_system.py --test-acct,Technique,Yes
T1136,Create Account,Persistence,Auth Monitor,ACCT-002,detection_rules/sigma_rules/account_creation.yml,evidence/T1136_CreateAcct_Test.zip,ACCT-NEW-001,python test_account_monitoring.py,Technique,Yes
T1055,Process Injection,Privilege Escalation,Memory Forensics,MEM-001,detection_rules/volatility_plugins.py,evidence/T1055_ProcInj_Test.zip,PROC-INJ-001,python memory_forensics_module.py --test-injection,Technique,Yes
T1134,Access Token Manipulation,Privilege Escalation,EDR,TOKEN-001,detection_rules/sigma_rules/token_manipulation.yml,evidence/T1134_Token_Test.zip,TOKEN-MANIP-001,python test_token_monitoring.py,General,Yes
T1068,Exploitation for Privilege Escalation,Privilege Escalation,Virtual Patching,VP-001,detection_rules/virtual_patches.json,evidence/T1068_Exploit_Test.zip,EXPLOIT-001,python test_virtual_patching.py,Technique,Yes
T1003.001,LSASS Memory,Credential Access,Memory Forensics,MEM-002,detection_rules/sigma_rules/lsass_access.yml,evidence/T1003_001_LSASS_Test.zip,LSASS-DUMP-001,python memory_forensics_module.py --test-lsass,Technique,Yes
T1110,Brute Force,Credential Access,Rate Limiting,AUTH-002,detection_rules/sigma_rules/brute_force.yml,evidence/T1110_BruteForce_Test.zip,BRUTE-001,python secure_web_system.py --test-brute,Technique,Yes
T1555,Credentials from Password Stores,Credential Access,File Monitor,FILE-001,detection_rules/sigma_rules/password_store.yml,evidence/T1555_PwdStore_Test.zip,PWD-STORE-001,python test_file_monitoring.py,Technique,Yes
T1558,Steal or Forge Kerberos Tickets,Credential Access,Event Log,KRB-001,detection_rules/sigma_rules/kerberos_anomaly.yml,evidence/T1558_Kerberos_Test.zip,KRB-ANOM-001,python test_kerberos_monitoring.py,Technique,Yes
T1056,Input Capture,Credential Access,Behavioral,BEHAV-001,detection_rules/behavioral_rules.json,evidence/T1056_InputCap_Test.zip,KEYLOG-001,python test_behavioral_detection.py,General,Yes
T1082,System Information Discovery,Discovery,Command Detect,CMD-002,detection_rules/suricata_rules.rules,evidence/T1082_SysInfo_Test.zip,CMD-WHOAMI-001,python test_command_detection.py,Technique,Yes
